project_name,district,property_type,classification,construction_status,status,sales_last_90d
Bashayer Residences - Phases 3 And 4,Al Hidayriyyat,,,,new_launch,292
Sunstone,Al Reem Island,,,,new_launch,280
Muheira B,Al Reem Island,,,,accelerating,197
Rotana Residences South,Al Reem Island,,,,new_launch,192
Rotana Residences North,Al Reem Island,,,,new_launch,149
Bloom Living - Marbella,Zayed City,,,,new_launch,118
Bloom Living - Malaga,Zayed City,,,,new_launch,115
Radiant Waves,Al Reem Island,,,,accelerating,110
Radiant Atrium,Al Reem Island,,,,accelerating,107
Rixos Residences Al Reem Island,Al Reem Island,,,,new_launch,99
Radiant Elite Tower,Al Reem Island,,,,steady,94
Radiant Marina Towers,Al Reem Island,,,,slowing,84
Seamont Residences By Marriott,Al Reem Island,,,,steady,80
Ansam - Phase 2 - The Golf Collection,Yas Island,,,,accelerating,77
Saadiyat Grove - The Heart,Al Saadiyat Island,,,,accelerating,71
The Beach House,Fahid Island,,,,slowing,71
Radiant Bridges,Al Reem Island,,,,new_launch,57
"St. Regis Residences, Al Maryah Island",Al Maryah Island,,,,steady,52
Jubail Island - Ain Al Maha Village,Al Jubail Island,,,,slowing,27
Louvre Residences,Al Saadiyat Island,,,,accelerating,22
Reem Eleven,Al Reem Island,,,,accelerating,22
Radiant Garden Tower,Al Reem Island,,,,slowing,22
Riviera Residences,Al Reem Island,,,,slowing,21
Radisson Residences - Tower 1,Al Reem Island,,,,slowing,20
Saas Heights,Al Reem Island,,,,accelerating,17
Radisson Residences - Tower 2,Al Reem Island,,,,slowing,17
Bashayer Villas - Phase 1,Al Hidayriyyat,,,,slowing,17
Four Seasons Private Residences,Al Saadiyat Island,,,,slowing,16
Reem Eight,Al Reem Island,,,,accelerating,16
Saadiyat Grove - The Source Residences,Al Saadiyat Island,,,,accelerating,15
Saadiyat Grove - The Source,Al Saadiyat Island,,,,accelerating,14
Ramhan Island,Ramhan Island,,,,slowing,14
Muheira A,Al Reem Island,,,,slowing,13
Vista 3,Al Reem Island,,,,slowing,13
Saadiyat Grove - The Arthouse,Al Saadiyat Island,,,,steady,13
Ramhan Island - Phase 3,Ramhan Island,,,,slowing,11
Radiant Square,Al Reem Island,,,,slowing,8
Ramhan Island - Phase 1,Ramhan Island,,,,slowing,8
Mayar,Al Reem Island,,,,slowing,6
Jacob & Co Beachfront Living,Ghadeer Al Tayr,,,,slowing,6
Private,Al Faqa',,,,steady,5
Diva At The Bay 1,Yas Island,,,,slowing,5
Ramhan Island - Phase 5,Ramhan Island,,,,new_launch,5
Diva At The Bay 2,Yas Island,,,,slowing,4
Reportage Village,Khalifa City,,,,slowing,4
Reem Hills - Phase 1A,Al Reem Island,,,,accelerating,3
Marina Bay By Damac,Al Reem Island,,,,accelerating,3
Elie Saab Waterfront,Al Reem Island,,,,steady,3
Nobu Residences 1,Al Saadiyat Island,,,,new_launch,3
Reem Hills - Phase 2D,Al Reem Island,,,,slowing,2
Rivage,Al Reem Island,,,,slowing,2
Henge Residences,Al Saadiyat Island,,,,slowing,2
Vista 2,Al Maryah Island,,,,slowing,2
Nour Watan,Al Shamkhah,,,,slowing,2
Saadiyat Grove - The Source Terraces,Al Saadiyat Island,,,,steady,2
Al Ghadeer - Phase 1,Al Layyan,,,,new_launch,2
Renad Tower,Al Reem Island,,,,slowing,1
Thoraya,Al Reem Island,,,,slowing,1
The Gate And Arc Towers,Al Reem Island,,,,new_launch,1
Nobu Residences 2,Al Saadiyat Island,,,,slowing,1
"Sun & Sky, Boutik Mall",Al Reem Island,,,,new_launch,1
Al Yaqut Tower,Al Sa`Adah,,,,new_launch,1
Al Reef 2,Al Samhah,,,,stale,0
Noya - Phase 2 - Viva,Yas Island,,,,stale,0
Oasis 1,Khalifa City,,,,stale,0
Pixel,Al Reem Island,,,,stale,0
Al Ghadeer - Phase 2 (Tala),Al Layyan,,,,stale,0
Hydra Avenue (Hydra Towers),Al Reem Island,,,,stale,0
Reem Hills - Phase 1B,Al Reem Island,,,,stale,0
Yas Acres - The Cedars,Yas Island,,,,stale,0
"The Bridges (Towers 1, 2, And 3)",Al Reem Island,,,,stale,0
"The Gate, Masdar City",Khalifa City,,,,stale,0
Yas Acres - The Aspens,Yas Island,,,,stale,0
Reem Hills - Phase 2C,Al Reem Island,,,,stale,0
Oasis 2,Khalifa City,,,,stale,0
Noya - Phase 3 - Luma,Yas Island,,,,stale,0
Reem Hills - Phase 1C,Al Reem Island,,,,stale,0
Reem Hills - Phase 2A,Al Reem Island,,,,stale,0
Opula Residences,Yas Island,,,,slowing,0
Mamsha Al Saadiyat - Turquoise,Al Saadiyat Island,,,,stale,0
Reflection Tower A,Al Reem Island,,,,stale,0
Reem Hills - Phase 2B,Al Reem Island,,,,stale,0
Mamsha Al Saadiyat - Lilac,Al Saadiyat Island,,,,stale,0
Reflection Tower B,Al Reem Island,,,,stale,0
"Marina Square, Paragon Bay Mall",Al Reem Island,,,,slowing,0
Yas Acres - The Redwoods,Yas Island,,,,stale,0
Al Reef Downtown,Al Reef,,,,stale,0
Mangrove Place,Al Reem Island,,,,stale,0
"Park View Tower, Al Reem Island",Al Reem Island,,,,stale,0
Al Reef Townhouses - Arabian Village,Al Reef,,,,stale,0
Vista 1,Al Maryah Island,,,,stale,0
Addax Tower,Al Reem Island,,,,slowing,0
"Fairmont Residences, Rixos Marina",Al Kasir,,,,stale,0
"Park View Residence, Al Saadiyat Island",Al Saadiyat Island,,,,stale,0
Al Reef Townhouses - Contemporary Village,Al Reef,,,,stale,0
Al Reef Townhouses - Desert Village,Al Reef,,,,stale,0
Al Reef Townhouses - Mediterranean Village,Al Reef,,,,stale,0
Azure,Al Reem Island,,,,stale,0
Reem Nine,Al Reem Island,,,,stale,0
Al Ghadeer - Phase 1 (Sabil),Al Layyan,,,,stale,0
Reem Five,Al Reem Island,,,,stale,0
Marina Bay Towers (City Of Lights),Al Reem Island,,,,stale,0
Canal By M,Al Reem Island,,,,slowing,0
The Wave,Al Reem Island,,,,stale,0
