project_name,project_number,district,developer_name,category,latest_year,primary_fee,sc_min,sc_avg,sc_max
Al Jurf Gardens Phase 1.2,2018/343033,Ghadeer Al Tayr,Imkan Al Jurf Properties Asingle Shareholder Limited Liability Company F Imkan Properties - Sole Proprietorship L.L.C.,RESIDENTIAL,,3.25,3.25,3.25,3.25
Al Jubail Island Phase 3,2022/346011,Al Jubail Island,Jubail Island Investment - Sole Proprietorship L.L.C.,RESIDENTIAL,,3.2,1.44,3.2,5.33
Park View,2018/442116,Al Saadiyat Island,Bloom  Emirates  Properties  L L C,RESIDENTIAL,,13.69,13.69,13.69,13.69
Ansam 2 - Yas Golf Collection,2022/334087,Yas Island,Aldar Properties - P J S C,RESIDENTIAL,,4.96,4.96,4.96,4.96
Al Gurm - Phase 2,2021/323974,Al Qurm,Aldar Properties - P J S C,RESIDENTIAL,,5.82,5.82,5.82,5.82
NOYA - Phase 1,2020/540783,Yas Island,Aldar Properties - P J S C,RESIDENTIAL,,5.5,5.5,5.5,5.5
Bawabat Al Sharq Development - Phase 5,2019/329823,Bani Yas,Baniyas Investment & Development Company - L L C,RESIDENTIAL,,9.6,8.7,9.6,10.49
Al Reeman 2 - Phase 1,2019/315320,Al Shamkhah,Aldar Properties - P J S C,RESIDENTIAL,,1.72,1.72,1.72,1.72
Al Reeman - Phase 1,2018/479098,Al Shamkhah,Aldar Properties - P J S C,RESIDENTIAL,,0.85,0.77,0.85,0.92
Hydra Avenue,2020/681749,Al Reem Island,Hydra Properties -Llc Abu Dhabi Branch,RESIDENTIAL,,10.39,9.47,10.39,10.98
The Magnolias,2021/385070,Yas Island,Aldar Properties - P J S C,RESIDENTIAL,,2.93,2.93,2.93,2.93
Yas Acres - The Dahlias,2021/386378,Yas Island,Aldar Properties - P J S C,RESIDENTIAL,,1.98,1.98,1.98,1.98
Saadiyat Reserve - The Dunes,2021/296874,Al Saadiyat Island,Aldar Properties - P J S C,RESIDENTIAL,,3.24,2.86,3.24,3.62
Al Reef Villas,2018/278412,Al Reef,Manazel P.J.S.C.,RESIDENTIAL,,15.0,2.8,15.0,36.46
nurai island,2017/253374,Nourai Island,Tasameem Real Estate Tasameem Owned By United International Representation Of Companies L L C - Sole Proprietorship L.L.C.,RESIDENTIAL,,17.93,2.94,17.93,33.33
Manazel Alreef 2,2018/80565,Khalifa Industrial,Manazel P.J.S.C.,RESIDENTIAL,,3.47,3.47,3.47,3.47
Mangrove Village,20240000188002,Rabdan,Mangrove Properties  - Sole Proprietorship L.L.C.,RESIDENTIAL,,6.23,6.23,6.23,6.23
AJWAN TOWERS,2023/302023,Al Saadiyat Island,Esk Investments - Sole Proprietorship L.L.C.,RESIDENTIAL,,17.29,17.29,17.29,17.29
Hydra Village - Zone 8,2023/322566,Rawdat Al Reef,Hydra Village Properties L.L.C.,RESIDENTIAL,,2.63,2.63,2.63,2.63
ElYakoat Tower,2022/243878,Al Sa`Adah,Rasyat Real Estate - Sole Proprietorship L.L.C.,RESIDENTIAL,,10.8,10.8,10.8,10.8
Bloom Living (Cordoba),2022/122218,Zayed City,Bloom District Properties  - Sole Proprietorship L.L.C.,RESIDENTIAL,,3.27,3.27,3.27,3.27
Noya Luma,2021/245801,Yas Island,Aldar Properties - P J S C,RESIDENTIAL,,5.84,5.84,5.84,5.84
Noya Viva,2021/202994,Yas Island,Aldar Properties - P J S C,RESIDENTIAL,,5.27,5.27,5.27,5.27
The Gate,2020/33486,Khalifa City,Reportage Hospitality Real Estate Limited,RESIDENTIAL,,9.12,9.12,9.12,9.12
